29,1174,33,May 5,LAD,@,WSN,L0-4,CG,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.239,.304,.337,.641,6,.80,-0.047,-0.37,RF
30,1175,34,May 6,LAD,@,WSN,W8-3,CG,5,5,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.247,.308,.340,.649,5,1.06,0.058,0.52,RF
31,1176,35,May 7,LAD,@,WSN,L2-3,CG,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.248,.306,.337,.643,6,1.95,-0.141,-0.84,CF
32,1177,36,May 8,LAD,,SFG,L1-3,10-GF(10,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.248,.313,.337,.649,7,1.00,0.055,0.24,CF
33,1178,38.1,May 10,LAD,,SFG,W6-2,8-9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.245,.310,.333,.643,7,.01,0.000,-0.15,PH
34,1179,39,May 11,LAD,,SFG,L4-7,CG(10,5,4,0,3,2,0,0,0,1,1,0,0,0,0,0,0,0,0,.264,.331,.368,.698,6,1.11,0.204,1.26,LF
35,1180,40,May 12,LAD,,MIA,W6-5,CG,5,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,.261,.325,.360,.686,6,1.05,-0.063,-0.88,LF
36,1181,41,May 13,LAD,,MIA,W7-1,8-9,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.259,.323,.357,.680,9,.01,0.000,-0.20,PH
37,1182,42,May 14,LAD,,MIA,L3-13,CG,4,4,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.259,.320,.353,.674,5,.43,-0.042,0.04,CF
38,1183,44.1,May 17,LAD,@,ARI,L7-18,6-6,1,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,.265,.326,.368,.693,9,1.39,0.097,1.29,PH
39,1184,45,May 18,LAD,@,ARI,L3-5,CG,4,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.267,.331,.367,.697,5,1.35,0.088,0.39,CF LF
40,1185,46,May 20,LAD,@,NYM,W9-4,6-GF,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.262,.326,.361,.687,9,.41,0.010,0.59,CF
41,1186,49.2,May 23,LAD,@,PHI,W2-0,CG,4,3,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,.272,.338,.376,.714,5,.60,0.062,1.14,CF
42,1187,50,May 24,LAD,@,PHI,L3-5,CG,4,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.279,.343,.380,.723,6,.69,-0.005,-0.10,CF
43,1188,51,May 25,LAD,@,PHI,W6-0,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,.271,.333,.368,.702,5,.65,-0.066,-1.47,CF
44,1189,52,May 26,LAD,,CIN,W4-3,CG,4,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.270,.331,.372,.703,5,.57,0.023,0.18,CF
45,1190,53,May 27,LAD,,CIN,W6-3,CG,4,4,2,2,0,1,1,4,0,0,1,0,0,0,0,0,0,0,.277,.335,.411,.747,6,.76,0.276,3.01,CF
46,1191,54,May 28,LAD,,CIN,L2-3,CG,4,3,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,.271,.329,.403,.732,2,2.28,-0.198,-1.23,CF
