1,1418,141.140,Sep 10,LAD,@,MIA,W5-0,9-9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,9,.04,-0.001,-0.42,,,PH
2,1419,142,Sep 11,LAD,@,MIA,L0-3,CG,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,7,.82,-0.064,-0.58,,,LF
3,1420,145.2,Sep 14,LAD,@,NYY,W2-0,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,.000,.000,.000,.000,7,1.37,-0.240,-2.35,,,DH
4,1421,146,Sep 15,LAD,@,ARI,L3-7,GS-8,3,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.091,.091,.091,.182,7,1.02,-0.058,-0.58,,,LF
5,1422,148.1,Sep 17,LAD,@,ARI,W6-2,8-8,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,.091,.167,.091,.258,7,.39,0.004,0.24,,,PH
6,1423,149,Sep 18,LAD,@,ARI,L9-10,8-GF(12,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.077,.143,.077,.220,5,2.22,-0.111,-0.42,,,LF
7,1424,151.1,Sep 20,LAD,,SFG,L0-2,9-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.071,.133,.071,.205,9,1.14,-0.028,-0.15,,,PH
8,1425,152,Sep 21,LAD,,SFG,W9-3,5-6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.067,.125,.067,.192,9,.05,-0.001,-0.31,,,PH
9,1426,153,Sep 22,LAD,,COL,W7-4,7-8,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.125,.176,.188,.364,9,1.52,0.099,0.62,,,PH
10,1427,154,Sep 23,LAD,,COL,W5-2,4-5,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,.176,.222,.412,.634,9,.38,0.057,1.00,,,PH
11,1428,155,Sep 24,LAD,,COL,W14-1,7-8,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.167,.211,.389,.599,9,.01,0.000,-0.35,,,PH
12,1429,157.1,Sep 27,LAD,@,SDP,L1-7,5-GF,3,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.150,.227,.350,.577,9,.77,-0.051,0.00,,,PH LF
13,1430,158,Sep 28,LAD,@,SDP,L5-6,9-GF,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.143,.217,.333,.551,9,4.55,-0.123,-0.35,,,PH
14,1431,159,Sep 29,LAD,@,SDP,W9-4,8-8,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.182,.250,.364,.614,9,.16,0.007,0.84,,,PH
15,1432,160,Sep 30,LAD,@,SFG,L3-9,9-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.174,.240,.348,.588,6,.06,-0.002,-0.23,,,PH
16,1433,162.1,Oct 2,LAD,@,SFG,L1-7,9-GF,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.208,.269,.375,.644,2,.01,0.003,0.47,,,PH
